observation_id,timestamp_utc,site_code,temperature_c,relative_humidity_pct,soil_moisture_pct,crop_stage,crop_type,observation_source,consent_status,synchronization_status,approximate_region,notes
45cd27f7-47ef-5036-ad86-a4b376be894f,2026-04-04T06:00:00Z,DEMO-001,27.7,71.4,45.0,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
45a1122b-4060-512b-91c0-a94b7612088c,2026-04-04T12:00:00Z,DEMO-001,34.2,51.7,45.3,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
7c35c432-85a8-5f69-8f9b-6b6aae238283,2026-04-04T18:00:00Z,DEMO-001,28.0,72.6,46.3,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
9a95af09-bc27-52e4-9942-7bf095562d5f,2026-04-05T00:00:00Z,DEMO-001,22.0,88.6,46.9,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
eabb8f70-5032-59e4-ab1a-710ba840d5cb,2026-04-05T06:00:00Z,DEMO-001,27.8,71.9,46.9,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
ad373cc3-0be4-5da5-a467-e732f5e92fff,2026-04-05T12:00:00Z,DEMO-001,34.0,52.3,43.2,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
9ed64de7-3bfc-553a-861e-9b344a41d4e2,2026-04-05T18:00:00Z,DEMO-001,27.3,73.2,43.2,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
bdfd3a06-901e-5498-9777-6ba8431211e5,2026-04-06T00:00:00Z,DEMO-001,22.8,90.7,43.4,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
b74b05ff-0f1f-57c3-868f-68bd24beb33d,2026-04-06T06:00:00Z,DEMO-001,27.9,70.4,44.9,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
dcfe5db1-4797-5078-886e-68e76fcdf07b,2026-04-06T12:00:00Z,DEMO-001,34.8,53.7,45.4,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
172f8f15-957f-529f-9fbd-4ff92ff0c89c,2026-04-06T18:00:00Z,DEMO-001,27.9,74.9,46.6,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
5679076e-7bd1-5f3b-875e-b2a1665af97e,2026-04-07T00:00:00Z,DEMO-001,22.1,91.0,45.0,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
195264a0-a29b-590e-8aa6-6da2e5e51d19,2026-04-07T06:00:00Z,DEMO-001,27.6,72.0,45.9,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
d30df3d5-9f84-5224-a6ab-278d87f26b13,2026-04-07T12:00:00Z,DEMO-001,34.0,53.6,46.2,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
d776ea77-cbb1-5a2a-b049-2cfa8bff237f,2026-04-07T18:00:00Z,DEMO-001,27.6,69.2,43.7,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
05f81720-1421-50c8-aa27-5e42e0dd8980,2026-04-08T00:00:00Z,DEMO-001,22.3,89.7,45.0,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
e373b9e9-197b-53d3-ae7c-19f93790b61a,2026-04-08T06:00:00Z,DEMO-001,28.0,74.5,44.5,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
2e2307f6-a193-51e2-a831-6d566e5b9dff,2026-04-08T12:00:00Z,DEMO-001,33.5,54.1,44.4,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
ee251788-7db4-5ef3-ac9f-41af02144c3a,2026-04-08T18:00:00Z,DEMO-001,28.7,72.3,45.7,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
bed364b4-87b2-5553-9b71-b9fd0eabe28e,2026-04-09T00:00:00Z,DEMO-001,22.8,88.9,45.7,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
6ad8f457-3642-5110-8755-b1fa45431b2c,2026-04-09T06:00:00Z,DEMO-001,28.8,73.1,42.7,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
6c6dea9f-fcb6-5592-a05f-86ee9bbd21ed,2026-04-09T12:00:00Z,DEMO-001,34.6,53.7,44.4,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
430713fe-05d6-50ac-ba25-33987685fb01,2026-04-09T18:00:00Z,DEMO-001,28.9,74.1,46.1,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
90cb2cdd-2264-56a4-828d-3c2b9bf310ee,2026-04-10T00:00:00Z,DEMO-001,22.0,88.6,42.5,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
60748bd8-d625-521e-bbbe-df97e12a67b2,2026-04-10T06:00:00Z,DEMO-001,28.0,73.5,42.5,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
bc5d98f5-6d2c-5842-b3ad-4f50dbbbdfc1,2026-04-10T12:00:00Z,DEMO-001,33.8,51.1,43.9,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
9159d86f-8f08-5290-8589-b66a6da43bdb,2026-04-10T18:00:00Z,DEMO-001,27.0,74.6,44.4,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
aeb6af9d-7c38-57d0-b03a-6bbaee48d45e,2026-04-11T00:00:00Z,DEMO-001,21.2,88.5,45.2,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
07e9523e-97d6-5244-88d1-fca75fe0480d,2026-04-11T06:00:00Z,DEMO-001,28.2,74.7,45.0,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
04daffab-b242-59eb-9f5f-1a7aa10108bd,2026-04-11T12:00:00Z,DEMO-001,34.3,51.9,44.4,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
b5675945-7a83-5572-8261-c7034c670dc5,2026-04-11T18:00:00Z,DEMO-001,27.6,73.6,44.2,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
738a89a4-4edd-5340-ab77-2445839b98dd,2026-04-12T00:00:00Z,DEMO-001,22.9,91.3,43.8,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
01041ac2-9a0c-5e2f-8a2b-06230be7aa33,2026-04-12T06:00:00Z,DEMO-001,27.3,72.5,42.6,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
263a6ba6-99a3-57e3-bb32-dc0493e16398,2026-04-12T12:00:00Z,DEMO-001,34.9,54.0,45.2,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
ef1bd8ba-6c4f-5c0c-8e51-6d375ce2d063,2026-04-12T18:00:00Z,DEMO-001,27.2,74.6,44.3,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
5ce31777-4d5d-5c3f-a179-17aa8c7ed282,2026-04-13T00:00:00Z,DEMO-001,22.6,88.8,45.3,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
a51e3190-5b77-5c78-b199-293b22391695,2026-04-13T06:00:00Z,DEMO-001,27.8,72.1,44.8,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
d18483a3-41a7-5424-8b07-091fe1408b9c,2026-04-13T12:00:00Z,DEMO-001,33.4,51.6,41.6,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
64346cac-c615-5cd3-8f17-bcb5babb7d5e,2026-04-13T18:00:00Z,DEMO-001,28.8,71.1,41.7,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
c917c942-cf1c-5d03-8673-451a4b4bb675,2026-04-14T00:00:00Z,DEMO-001,21.7,87.2,44.5,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
d0f6726a-3f97-5c2f-8df4-c255b5b8c5e8,2026-04-14T06:00:00Z,DEMO-001,28.0,70.8,42.7,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
efebe675-5ca5-5b48-bbc5-b5dd51d1f682,2026-04-14T12:00:00Z,DEMO-001,33.7,56.7,41.8,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
003f3802-ff43-57eb-8dbf-f715a2c16eba,2026-04-14T18:00:00Z,DEMO-001,28.1,69.9,44.5,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
65acb68a-e2af-5d91-9677-6ea8dbd4d6a4,2026-04-15T00:00:00Z,DEMO-001,22.0,89.0,42.9,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
cba16f0f-cfb7-5c95-a8f0-a31a19eb5fcb,2026-04-15T06:00:00Z,DEMO-001,28.2,69.4,43.9,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
c2db5877-46b8-5227-8855-2b019fb9754e,2026-04-15T12:00:00Z,DEMO-001,33.8,56.5,41.9,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
91b7f7c7-f496-573e-adb1-89d1f46d3702,2026-04-15T18:00:00Z,DEMO-001,27.1,74.0,43.2,vegetative,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
c9272ac2-37b2-5572-84f0-3fea3cdd6bd0,2026-04-16T00:00:00Z,DEMO-001,21.9,88.1,44.0,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
aab24e9f-a875-577c-b15e-6a55d597ddbf,2026-04-16T06:00:00Z,DEMO-001,28.4,69.8,44.5,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
14c64486-afae-5913-a1ce-6fbaeaa411eb,2026-04-16T12:00:00Z,DEMO-001,34.1,54.1,44.0,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
506c9883-0e54-5ec0-8d34-c4c7b14d8e32,2026-04-16T18:00:00Z,DEMO-001,28.9,74.1,41.5,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
d1af155f-d0e0-5be1-8c64-40ac1453a9d4,2026-04-17T00:00:00Z,DEMO-001,21.8,89.5,42.5,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
e02cc3a6-64ab-5fb0-8e22-aedaa51d7662,2026-04-17T06:00:00Z,DEMO-001,27.2,71.1,42.0,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
2e06dff9-18c1-5989-8403-5ba80d1f9a26,2026-04-17T12:00:00Z,DEMO-001,33.5,55.7,42.7,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
196f33b0-4ae9-5426-a7f3-4afa9ff95914,2026-04-17T18:00:00Z,DEMO-001,27.8,71.0,42.5,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
3016812f-0e0d-55d5-a44a-9e37ee24d394,2026-04-18T00:00:00Z,DEMO-001,22.0,91.8,41.1,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
dc499c4f-6092-5654-a334-6a85211d38d7,2026-04-18T06:00:00Z,DEMO-001,28.6,74.1,43.8,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
3a8ded16-636a-517a-9198-374df5c578bf,2026-04-18T12:00:00Z,DEMO-001,33.5,56.3,44.3,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
3ad987a1-2cab-5448-a267-396e84d82622,2026-04-18T18:00:00Z,DEMO-001,28.3,73.7,42.1,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
d81fa8b8-0c5b-5466-818e-003c88b972ef,2026-04-19T00:00:00Z,DEMO-001,22.7,92.8,43.1,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
7d760b07-1b66-5610-9ca4-dbdf607d86c9,2026-04-19T06:00:00Z,DEMO-001,27.7,72.4,41.0,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
e5b697d6-5300-5a57-bb06-21b1420bc13d,2026-04-19T12:00:00Z,DEMO-001,34.1,51.7,42.5,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
e3c80466-906f-5c6e-90bd-5465efadf4bc,2026-04-19T18:00:00Z,DEMO-001,28.4,72.4,42.5,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
442884ac-5a2a-571d-956d-e039ec74d639,2026-04-20T00:00:00Z,DEMO-001,21.4,88.6,41.4,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
22447426-a8d8-5ee1-b01f-546c6efc6ea5,2026-04-20T06:00:00Z,DEMO-001,28.1,70.6,40.6,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
e75821c8-24e8-5565-8843-69f5cc072393,2026-04-20T12:00:00Z,DEMO-001,34.9,55.1,40.8,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
2466a101-6bfc-5acf-9c29-41265f8dabae,2026-04-20T18:00:00Z,DEMO-001,28.5,70.1,42.9,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
15016746-eea7-5b87-8462-e09590ea94b9,2026-04-21T00:00:00Z,DEMO-001,22.3,88.7,42.0,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
878fbcae-e6b2-54c8-81c1-6d4b92ed3da3,2026-04-21T06:00:00Z,DEMO-001,28.7,70.9,41.1,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
35eed801-a470-5ea1-bb5b-fee4249cc163,2026-04-21T12:00:00Z,DEMO-001,33.5,53.5,40.2,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
eb8922e8-2ef6-584d-9d8e-396595632e4f,2026-04-21T18:00:00Z,DEMO-001,28.8,71.5,43.0,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
2ceb9605-9e9f-544e-a897-e79c9b63105e,2026-04-22T00:00:00Z,DEMO-001,21.0,87.1,40.2,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
859fc691-df8d-5e13-8d63-2375985f4434,2026-04-22T06:00:00Z,DEMO-001,27.2,72.5,42.5,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
908c8927-bce9-5efd-8ffe-df44912a51b6,2026-04-22T12:00:00Z,DEMO-001,34.9,55.7,41.1,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
4ac5107e-3398-5ea2-a3b2-01c398566294,2026-04-22T18:00:00Z,DEMO-001,28.2,72.7,42.3,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
ba7a2eda-49d9-50df-a1ca-ba8fd41384e4,2026-04-23T00:00:00Z,DEMO-001,22.8,88.3,40.9,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
fdd1f23b-3164-567b-8a62-6f4311608970,2026-04-23T06:00:00Z,DEMO-001,27.9,74.3,43.5,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
48fa2a9d-45c5-5e58-ad7b-44da9635351d,2026-04-23T12:00:00Z,DEMO-001,34.4,55.1,42.9,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
e72fa04a-9299-533f-9405-4b14a79355c2,2026-04-23T18:00:00Z,DEMO-001,28.8,74.7,41.0,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
27c63a7e-6291-58ed-b82a-559a9ee2bccd,2026-04-24T00:00:00Z,DEMO-001,21.7,89.6,42.3,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
87c773d7-6884-5518-b07a-0d9eab6271f9,2026-04-24T06:00:00Z,DEMO-001,27.0,70.7,42.1,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
9b8d64b0-70fa-5fe3-aca9-ab4f9e1c2df5,2026-04-24T12:00:00Z,DEMO-001,34.9,51.7,42.5,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
542b4a19-fa1b-561c-9835-9e1e7353c49e,2026-04-24T18:00:00Z,DEMO-001,28.5,74.4,40.5,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
9e56b726-d107-5ad2-ab51-379c6bdd008d,2026-04-25T00:00:00Z,DEMO-001,22.1,90.4,40.6,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
750b76a0-7b58-5e85-8b7d-857a2e25dfcf,2026-04-25T06:00:00Z,DEMO-001,28.4,72.7,39.6,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
4a0c67a5-1316-5b81-82fb-5c6ab9d9d23c,2026-04-25T12:00:00Z,DEMO-001,33.2,53.1,39.6,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
ed5a467f-57a9-56ac-9c9a-efa7d0774ced,2026-04-25T18:00:00Z,DEMO-001,28.3,69.2,41.7,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
3ebcecac-60e3-5a00-b6eb-b05a867bfdf0,2026-04-26T00:00:00Z,DEMO-001,22.2,89.3,40.4,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
59eb016f-04ea-58a6-b37b-0153da7998a1,2026-04-26T06:00:00Z,DEMO-001,27.5,70.3,40.6,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
321b1aa7-dfbc-588c-832b-c29c09fd6120,2026-04-26T12:00:00Z,DEMO-001,33.3,55.0,41.1,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
8767c425-9567-53a8-a586-a28cf9d4ea34,2026-04-26T18:00:00Z,DEMO-001,28.9,71.4,41.6,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
5df348b8-9a7a-56c1-8485-530672ac0ca5,2026-04-27T00:00:00Z,DEMO-001,21.5,87.1,39.4,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
bd9e903e-bb5b-5534-99fc-3280f60a2647,2026-04-27T06:00:00Z,DEMO-001,27.6,70.6,40.7,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
dc09a444-0cbf-553f-83cc-70624b45b3bd,2026-04-27T12:00:00Z,DEMO-001,33.6,54.6,42.5,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
45036412-2796-5033-accb-375828462665,2026-04-27T18:00:00Z,DEMO-001,28.7,72.9,40.9,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
0e28da37-885e-5c7f-86c1-d7f8ca5c055d,2026-04-28T00:00:00Z,DEMO-001,22.9,88.6,40.7,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
42e069ba-490c-558f-baaf-3fac88a5b1ab,2026-04-28T06:00:00Z,DEMO-001,28.3,70.9,41.6,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
725ac973-b764-5701-81af-234f9721863a,2026-04-28T12:00:00Z,DEMO-001,34.3,56.9,38.5,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
d1bb1197-79d4-54aa-a82a-0fff56335fdb,2026-04-28T18:00:00Z,DEMO-001,27.9,73.1,42.3,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
d7720f2d-0d10-5f99-964e-abd8d45d7f20,2026-04-29T00:00:00Z,DEMO-001,22.7,92.4,42.1,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
91709484-f821-51a4-abe6-855cf23dee74,2026-04-29T06:00:00Z,DEMO-001,27.8,74.7,42.3,flowering,demonstration crop,synthetic,not_required_synthetic,synchronized,Synthetic demonstration region,SYNTHETIC DATA — normal scenario
